数据由邢不行整理，对数据字段有疑问的，可以直接微信私信邢不行，微信号：xbx6660
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值
sz301628,N强达,2024-10-31,111.0,211.0,111.0,137.5,28.18,15891645.0,2198514180.0,2591050000.0,10364172500.0
sz301628,C强达,2024-11-01,117.84,164.5,116.0,124.01,137.5,13144904.0,1711886157.0,2336844440.0,9347352958.0
sz301628,C强达,2024-11-04,122.77,129.0,101.11,105.26,124.01,10065024.0,1147419654.0,1983519440.0,7934056708.0
sz301628,C强达,2024-11-05,100.47,141.0,97.0,126.0,105.26,12793640.0,1500913009.0,2374344000.0,9497350800.0
sz301628,C强达,2024-11-06,117.8,133.99,104.04,104.56,126.0,11506445.0,1342264871.0,1970328640.0,7881293648.0
sz301628,强达电路,2024-11-07,98.0,102.82,96.0,97.36,104.56,8138366.0,793085166.0,1834651840.0,7338587888.0
sz301628,强达电路,2024-11-08,96.88,100.89,95.82,98.24,97.36,5766242.0,565308623.0,1851234560.0,7404918591.999999
sz301628,强达电路,2024-11-11,97.3,100.48,96.0,99.76,98.24,4943543.0,487820784.0,1879877440.0,7519489808.0
sz301628,强达电路,2024-11-12,99.22,106.48,99.22,106.25,99.76,6910685.0,716093184.0,2002175000.0,8008678750.0
sz301628,强达电路,2024-11-13,104.01,114.11,102.05,110.08,106.25,6798186.0,738905261.0,2074347520.0,8297368064.0
sz301628,强达电路,2024-11-14,107.0,108.17,100.03,101.34,110.08,5265587.0,545524276.0,1909650960.0,7638583572.0
sz301628,强达电路,2024-11-15,99.01,102.8,96.07,96.28,101.34,3434308.0,341467679.0,1814300320.0,7257182023.999999
sz301628,强达电路,2024-11-18,97.01,100.9,96.48,99.01,96.28,2813960.0,276328823.0,1865744440.0,7462957958.0
sz301628,强达电路,2024-11-19,99.0,100.9,95.8,99.2,99.01,3047159.0,298150882.0,1869324800.0,7477279360.0
sz301628,强达电路,2024-11-20,98.6,99.3,96.66,99.05,99.2,2850703.0,278996930.0,1866498200.0,7465972990.0
sz301628,强达电路,2024-11-21,99.0,99.76,97.71,98.61,99.05,2567496.0,253346756.0,1858206840.0,7432807638.0
sz301628,强达电路,2024-11-22,98.01,98.01,90.11,91.0,98.61,4057431.0,383406977.0,1714804000.0,6859197800.0
sz301628,强达电路,2024-11-25,89.5,90.0,83.0,85.08,91.0,2795415.0,240024240.0,1603247520.0,6412973064.0
sz301628,强达电路,2024-11-26,85.12,88.25,85.12,86.24,85.08,2201214.0,191596496.0,1625106560.0,6500408992.0
sz301628,强达电路,2024-11-27,85.5,85.5,80.25,83.96,86.24,2431003.0,200202575.0,1582142239.9999998,6328552168.000001
sz301628,强达电路,2024-11-28,84.12,85.45,83.11,83.3,83.96,1828351.0,153652934.0,1569705200.0,6278804140.0
sz301628,强达电路,2024-11-29,82.96,84.48,80.61,82.95,83.3,2120291.0,175292238.0,1563109800.0,6252422610.000001
sz301628,强达电路,2024-12-02,82.96,84.62,82.88,84.26,82.95,1685711.0,141422265.0,1587795440.0,6351164908.0
sz301628,强达电路,2024-12-03,84.7,86.7,83.8,84.51,84.26,1965160.0,167316655.0,1592506440.0,6370008858.0
sz301628,强达电路,2024-12-04,84.78,84.89,81.3,81.66,84.51,1866850.0,154515992.0,1538801040.0,6155187828.0
sz301628,强达电路,2024-12-05,81.3,83.78,80.66,83.44,81.66,1499356.0,123794685.0,1572343360.0,6289356752.000001
sz301628,强达电路,2024-12-06,83.0,86.18,81.5,85.26,83.44,2717053.0,228119403.0,1606639440.0,6426540708.0
sz301628,强达电路,2024-12-09,84.26,87.1,83.57,87.0,85.26,2518595.0,215160016.0,1639428000.0,6557694600.0
sz301628,强达电路,2024-12-10,90.0,91.0,85.26,85.66,87.0,2617980.0,230084080.0,1614177040.0,6456691028.0
sz301628,强达电路,2024-12-11,84.83,86.3,84.5,85.03,85.66,1337818.0,114124689.0,1602305320.0,6409204274.0
sz301628,强达电路,2024-12-12,85.07,85.5,82.65,83.85,85.03,1601291.0,134192656.0,1580069400.0,6320260830.0
sz301628,强达电路,2024-12-13,83.0,83.7,82.23,82.3,83.85,1360492.0,112692882.0,1550861200.0,6203428340.0
sz301628,强达电路,2024-12-16,81.8,83.54,81.64,82.46,82.3,1121695.0,92417989.0,1553876240.0,6215488468.000001
sz301628,强达电路,2024-12-17,82.0,85.23,81.1,84.0,82.46,2198491.0,184195006.0,1582896000.0,6331567200.0
sz301628,强达电路,2024-12-18,83.32,83.5,81.51,82.2,84.0,1521936.0,124962251.0,1548976800.0,6195890760.0
sz301628,强达电路,2024-12-19,81.35,81.6,79.61,80.0,82.2,1485149.0,119612998.0,1507520000.0,6030064000.0
sz301628,强达电路,2024-12-20,79.88,82.48,79.5,82.25,80.0,1578786.0,128808351.0,1549919000.0,6199659550.0
sz301628,强达电路,2024-12-23,82.02,84.97,80.22,80.31,82.25,1699472.0,140113790.0,1513361640.0,6053430498.0
sz301628,强达电路,2024-12-24,79.88,83.63,79.01,83.59,80.31,2242419.0,181337197.0,1575169960.0000002,6300663122.0
sz301628,强达电路,2024-12-25,82.9,84.5,82.1,82.78,83.59,2066941.0,172765538.31,1559906320.0,6239608724.0
sz301628,强达电路,2024-12-26,82.84,86.01,81.0,86.0,82.78,2932305.0,247553871.0,1620584000.0,6482318800.0
sz301628,强达电路,2024-12-27,86.2,86.5,83.51,83.52,86.0,2423580.0,204444257.0,1573850880.0,6295386816.0
sz301628,强达电路,2024-12-30,83.08,83.08,81.03,81.16,83.52,1340064.0,109572800.0,1529379040.0,6117499928.0
sz301628,强达电路,2024-12-31,81.46,83.18,80.0,81.6,81.16,1547132.0,126227526.0,1537670400.0,6150665280.000001
sz301628,强达电路,2025-01-02,81.6,81.6,77.24,77.77,81.6,1453668.0,115316849.0,1465497880.0,5861975966.000001
sz301628,强达电路,2025-01-03,77.88,78.3,70.98,70.98,77.77,1920309.0,141366135.0,1337547120.0,5350174284.0
sz301628,强达电路,2025-01-06,70.99,71.53,67.84,68.14,70.98,1208367.0,83574809.0,1284030160.0,5136107012.0
sz301628,强达电路,2025-01-07,68.03,69.8,68.02,69.74,68.14,1095267.0,75274206.0,1314180560.0,5256708292.0
sz301628,强达电路,2025-01-08,69.19,70.07,67.35,69.62,69.74,1350018.0,92814458.0,1311919280.0000002,5247663196.0
sz301628,强达电路,2025-01-09,69.39,83.54,69.1,83.54,69.62,4385940.0,354173603.0,1574227760.0000002,6296894332.0
sz301628,强达电路,2025-01-10,86.89,91.9,84.5,88.53,83.54,8351915.0,740257694.0,1668259320.0,6673019574.0
sz301628,强达电路,2025-01-13,83.03,92.66,83.03,91.53,88.53,5871689.0,521411119.0,1724791320.0000002,6899146973.999999
sz301628,强达电路,2025-01-14,89.7,95.4,88.5,94.15,91.53,6091202.0,560740589.0,1774162600.0,7096631570.0
sz301628,强达电路,2025-01-15,92.0,92.0,86.01,87.0,94.15,5098338.0,450978042.0,1639428000.0,6557694600.0
sz301628,强达电路,2025-01-16,86.6,89.8,86.06,87.63,87.0,3400181.0,298759282.0,1651299720.0,6605181354.0
sz301628,强达电路,2025-01-17,87.0,103.5,85.31,96.15,87.63,7553342.0,718465899.0,1811850600.0,7247383170.0
sz301628,强达电路,2025-01-20,97.8,105.58,94.35,97.82,96.15,7510264.0,753828054.0,1843320080.0,7373260756.0
sz301628,强达电路,2025-01-21,96.2,104.8,96.12,101.5,97.82,6615680.0,663548563.0,1912666000.0,7650643700.0
